,slope,intercept,r-value
AMZN,0.9595995732324731,337.91147275411333,0.872079478657757
GOOGL,0.8753707698304874,499.7191136413627,0.9174496180598385
GOOG,0.8195577378546174,491.01800896350426,0.9058607512924306
PCLN,0.4752086402230759,1138.327196981764,0.4673321400881729
EQIX,0.35807040731794904,202.72241809528336,0.9677902414203535
HBANP,0.3234019645400704,1240.4765854756554,0.8696761984931605
COKE,0.2958516051437461,100.54645910332323,0.8141646555691608
UHAL,0.2314805774861165,308.80690302371477,0.6068979696769399
ORLY,0.22523794699723074,199.97292180085745,0.9061067491511847
ISRG,0.19933698469763153,486.9070288282459,0.5676058810970332
