,slope,intercept,r-value
PCLN,0.58769577681414,856.3877382917876,0.7532520574518085
HBANP,0.4206192705119141,1001.3687887886924,0.9699361967776469
REGN,0.4106351519665255,185.97704768747047,0.8918539350459338
AMZN,0.39317932712390774,218.59752526869102,0.8394743207899189
GOOGL,0.3832007625508768,396.337856882433,0.8869213004710652
GOOG,0.3513615791704248,400.58765297957757,0.8707247442220338
UHAL,0.30580405616491707,135.34321494955609,0.9596358425905525
ATRI,0.2501219685215086,196.94072978332548,0.9654881833691543
IBB,0.2279920371184526,165.05447555578962,0.8410321425150133
ORLY,0.22149211586686443,79.9490788033519,0.9774939290482128
