ACT Symbol|Security Name|Exchange|CQS Symbol|ETF|Round Lot Size|Test Issue|NASDAQ Symbol
A|Agilent Technologies, Inc. Common Stock|N|A|N|100|N|A
AA|Alcoa Inc. Common Stock|N|AA|N|100|N|AA
AA$|Alcoa Inc. $3.75 Preferred Stock|A|AAp|N|100|N|AA-
AA$B|Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1|N|AApB|N|100|N|AA-B
AAC|AAC Holdings, Inc. Common Stock|N|AAC|N|100|N|AAC
AADR|WCM BNY Mellon Focused Growth ADR ETF|P|AADR|Y|100|N|AADR
AAMC|Altisource Asset Management Corp Com|A|AAMC|N|100|N|AAMC
AAN|Aaron's, Inc. Common Stock|N|AAN|N|100|N|AAN
AAP|Advance Auto Parts Inc Advance Auto Parts Inc W/I|N|AAP|N|100|N|AAP
AAT|American Assets Trust, Inc. Common Stock|N|AAT|N|100|N|AAT
AAU|Almaden Minerals, Ltd. Common Shares|A|AAU|N|100|N|AAU
AAV|Advantage Oil & Gas Ltd  Ordinary Shares|N|AAV|N|100|N|AAV
AB|AllianceBernstein Holding L.P.  Units|N|AB|N|100|N|AB
ABB|ABB Ltd Common Stock|N|ABB|N|100|N|ABB
ABBV|AbbVie Inc. Common Stock|N|ABBV|N|100|N|ABBV
ABC|AmerisourceBergen Corporation Common Stock|N|ABC|N|100|N|ABC
ABE|Aberdeen Emerging Markets Company Oppotunities Fund, Inc. Common Stock|A|ABE|N|100|N|ABE
ABEV|Ambev S.A. American Depositary Shares (Each representing 1 Common Share)|N|ABEV|N|100|N|ABEV
ABG|Asbury Automotive Group Inc Common Stock|N|ABG|N|100|N|ABG
ABM|ABM Industries Incorporated Common Stock|N|ABM|N|100|N|ABM
ABR|Arbor Realty Trust Common Stock|N|ABR|N|100|N|ABR
ABR$A|Arbor Realty Trust Preferred Series A|N|ABRpA|N|100|N|ABR-A
ABR$B|Arbor Realty Trust Cumulative Redeemable Preferred Series B|N|ABRpB|N|100|N|ABR-B
ABR$C|Arbor Realty Trust Cumulative Redeemable Preferred Series C|N|ABRpC|N|100|N|ABR-C
ABRN|Arbor Realty Trust 7.375% Senior Notes due 2021|N|ABRN|N|100|N|ABRN
ABT|Abbott Laboratories Common Stock|N|ABT|N|100|N|ABT
ABX|Barrick Gold Corporation Common Stock|N|ABX|N|100|N|ABX
AC|Associated Capital Group, Inc. Common Stock|N|AC|N|100|N|AC
ACC|American Campus Communities Inc Common Stock|N|ACC|N|100|N|ACC
ACCO|Acco Brands Corporation Common Stock|N|ACCO|N|100|N|ACCO
ACG|Alliancebernstein Income Fund|N|ACG|N|100|N|ACG
ACH|Aluminum Corporation of China Limited American Depositary Shares|N|ACH|N|100|N|ACH
ACIM|SPDR MSCI ACWI IMI ETF|P|ACIM|Y|100|N|ACIM
ACM|AECOM Common Stock|N|ACM|N|100|N|ACM
ACN|Accenture plc Class A Ordinary Shares (Ireland)|N|ACN|N|100|N|ACN
ACP|Avenue Income Credit Strategies Fund Common Shares|N|ACP|N|100|N|ACP
ACRE|Ares Commercial Real Estate Corporation Common Stock|N|ACRE|N|100|N|ACRE
ACU|Acme United Corporation. Common Stock|A|ACU|N|100|N|ACU
ACV|AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest|N|ACV|N|100|N|ACV
ACW|Accuride Corporation Common Stock|N|ACW|N|100|N|ACW
ACWF|iShares FactorSelect MSCI Global ETF|P|ACWF|Y|100|N|ACWF
ACWV|iShares MSCI All Country World Minimum Volatility Index Fund|P|ACWV|Y|100|N|ACWV
ACY|AeroCentury Corp. Common Stock|A|ACY|N|100|N|ACY
ADC|Agree Realty Corporation Common Stock|N|ADC|N|100|N|ADC
ADGE|American DG Energy Inc. Common Stock|A|ADGE|N|100|N|ADGE
ADK|Adcare Health Systems Inc Common Stock (GA)|A|ADK|N|100|N|ADK
