,KPI_General,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
0,Revenue EUR Mil,"28,956",,"32,918","31,168","35,088","36,528","39,760","40,157","42,239","46,324","46,386"
1,Gross Margin %,47.2,,50.0,51.4,51.3,50.8,52.1,51.8,52.0,54.3,55.2
2,Operating Income EUR Mil,"2,762","3,154","3,544","3,006","2,730","4,149","3,960","4,207","4,525","5,246","5,596"
3,Operating Margin %,9.5,,10.8,9.6,7.8,11.4,10.0,10.5,10.7,11.3,12.1
4,Net Income EUR Mil,"1,695","4,711","1,719","1,359","1,301","2,470","2,446","3,189","3,426","4,110","4,287"
5,Earnings Per Share EUR,2.14,5.72,2.09,1.65,1.57,2.99,2.96,3.86,4.14,4.97,5.18
6,Dividends EUR,0.95,1.00,1.35,1.40,1.40,1.50,1.65,1.90,2.10,2.25,2.25
7,Payout Ratio %,52.0,31.4,66.9,88.2,70.0,64.3,55.2,50.0,47.5,49.9,44.2
8,Shares Mil,792,824,824,826,827,827,827,827,827,827,
9,Book Value Per Share EUR,16.57,22.14,23.85,19.67,22.19,22.91,22.54,24.24,24.41,27.19,28.57
10,Operating Cash Flow EUR Mil,"4,203","4,283","3,608","5,375","5,773","5,060","4,532","5,171","5,810","6,890","7,488"
11,Cap Spending EUR Mil,"-1,876","-1,860","-1,759","-1,575","-1,514","-1,615","-1,929","-2,157","-2,371","-2,517","-2,535"
12,Free Cash Flow EUR Mil,"2,327","2,423","1,849","3,800","4,259","3,445","2,603","3,014","3,439","4,373","4,953"
13,Free Cash Flow Per Share EUR,2.94,3.18,2.74,3.45,4.98,5.36,3.47,2.87,3.57,5.69,
14,Working Capital EUR Mil,"4,479","6,054","3,325","8,020","7,483","6,678","5,887","5,005","6,724","6,841",
15,Key Ratios -> Profitability,,,,,,,,,,,
16,Margins % of Sales,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
17,Revenue,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
18,COGS,52.75,,49.99,48.56,48.74,49.21,47.94,48.18,47.98,45.67,44.77
19,Gross Margin,47.25,,50.01,51.44,51.26,50.79,52.06,51.82,52.02,54.33,55.23
20,SG&A,28.09,,29.63,30.63,29.78,29.21,29.81,29.79,30.21,31.23,31.23
21,R&D,7.93,,8.06,8.81,8.70,8.03,7.58,7.94,8.46,9.24,9.58
