,KPI_General,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
0,Revenue EUR Mil,"151,589","99,555","96,100",,,"106,540","114,297","117,982","129,872","149,467","150,278"
1,Gross Margin %,17.1,24.1,22.5,,,24.0,22.3,21.6,21.7,21.3,20.8
2,Operating Income EUR Mil,"2,072","7,875","5,225",,"7,274","8,755","7,718","10,139","10,173","12,744","12,021"
3,Operating Margin %,1.4,7.9,5.4,,,8.2,6.8,8.6,7.8,8.5,8.0
4,Net Income EUR Mil,"3,227","3,986","1,417","-2,640","4,498","5,667","6,095","6,842","6,962","8,424","7,814"
5,Earnings Per Share EUR,3.14,3.81,1.40,-2.63,4.28,5.31,5.71,6.40,6.51,7.87,7.30
6,Dividends EUR,2.04,2.04,2.72,0.81,,1.85,2.20,2.20,2.25,2.45,3.25
7,Payout Ratio %,57.8,65.3,57.9,,,39.5,42.0,32.0,32.1,33.9,44.5
8,Shares Mil,"1,029","1,046",959,"1,003","1,052","1,067","1,067","1,069","1,069","1,069","1,069"
9,Book Value Per Share EUR,35.81,36.73,35.45,29.73,32.28,35.72,38.64,38.42,41.38,46.60,50.19
10,Operating Cash Flow EUR Mil,"14,016","13,108","3,212","10,961","8,544",-696,"-1,100","3,285","-1,274",222,-432
11,Cap Spending EUR Mil,"-30,761","-16,859","-10,517","-3,845","-5,208","-5,876","-6,657","-6,907","-6,307","-7,336","-7,580"
12,Free Cash Flow EUR Mil,"-16,745","-3,750","-7,305","7,116","3,336","-6,572","-7,757","-3,622","-7,581","-7,114","-8,012"
13,Free Cash Flow Per Share EUR,-20.45,-12.73,-2.59,2.08,4.94,-4.75,-7.59,-3.92,-2.87,-9.25,
14,Working Capital EUR Mil,-451,"13,312","3,215","6,742","3,864","6,263","8,740","11,333","10,171","14,766",
15,Key Ratios -> Profitability,,,,,,,,,,,
16,Margins % of Sales,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
17,Revenue,100.00,100.00,100.00,,,100.00,100.00,100.00,100.00,100.00,100.00
18,COGS,82.90,75.86,77.51,,,76.05,77.68,78.37,78.30,78.73,79.18
19,Gross Margin,17.10,24.14,22.49,,,23.95,22.32,21.63,21.70,21.27,20.82
20,SG&A,12.21,13.06,13.90,,,12.84,12.62,12.49,11.44,10.61,10.50
